smiles,g298
C,-40.498597
N,-56.544961
O,-76.422349
C#C,-77.327429
C#N,-93.431246
C=O,-114.505268
CC,-79.787269
CO,-115.701876
CC#C,-116.633775
CC#N,-132.742149
CC=O,-153.812518
C(=O)N,-169.885594
CCC,-119.078157
CCO,-154.998148
COC,-154.985747
C1CC1,-117.849087
C1CO1,-153.766642
CC(=O)C,-193.116476
CC(=O)N,-209.187468
C(=O)(N)N,-225.247724
CC(C)C,-158.370016
CC(C)O,-194.294663
C#CC#C,-153.482621
C#CC#N,-169.581024
C(#N)C#N,-185.667652
C#CC=O,-190.650543
C(=O)C#N,-206.747625
C(=O)C=O,-227.825074
CC#CC,-155.937641
CCC#C,-155.924226
CCC#N,-172.032826
C(C#N)N,-188.06863
C#CCO,-191.837634
C(C#N)O,-207.943384
CCC=O,-193.102798
CNC=O,-209.172305
COC=O,-229.041086
C(C=O)O,-229.019918
CCCC,-158.36894
CCCO,-194.28893
CCOC,-194.281899
C(CO)O,-230.211195
CC1CC1,-157.143262
CC1CO1,-193.065979
CN1CC1,-173.174073
C1CC1O,-193.061689
C1CCC1,-157.141657
C1COC1,-193.060777
CC(=NO)C,-248.405354
c1cc[nH]c1,-210.12818
c1cnc[nH]1,-226.187104
c1ccoc1,-229.995393
c1cocn1,-246.055309
CC(C)(C)C,-197.661411
CC(C)(C)O,-233.589759
CC(=O)C#C,-229.955843
CC(=O)C#N,-246.055769
C(#N)C(=N)N,-242.223513
C#CC(=O)N,-246.026404
CC(=O)C=O,-267.132534
C(=O)C(=N)N,-263.306835
C(=O)C(=O)N,-283.197298
CC(C)C#C,-195.215658
CC(C)C#N,-211.324525
CC(N)C#N,-227.366638
CC(O)C#C,-231.137061
CC(O)C#N,-247.243338
CC(C)C=O,-232.394589
CC(O)C=O,-268.316982
CN(C)C=O,-248.459383
CC(=O)CO,-268.331307
CCC(=O)C,-232.408256
CCC(=O)N,-248.478935
CC(=O)NC,-248.474272
CNC(=O)N,-264.533633
COC(C)=N,-248.445651
CC(=O)OC,-268.351214
COC(=O)N,-284.414085
C(C(=O)N)O,-284.390143
[NH3+]CC([O-])=O,-284.40095
CC(C)CO,-233.581067
CC(O)CO,-269.508213
CCC(C)C,-197.659365
CCC(C)O,-233.585602
CC(C)OC,-233.57582
CC1(CC1)C,-196.437676
CC1(CO1)C,-232.364091
CC1(CC1)O,-232.36147
N=C1CCO1,-247.22841
C1CC(=O)C1,-231.184401
C1CNC1=O,-247.253218
C1COC1=O,-267.13332
C1C(=O)CN1,-247.217688
C1C(=O)CO1,-267.095887
CC1CCC1,-196.436159
CC1CCO1,-232.359589
CC1COC1,-232.354576
C1CC(C1)O,-232.361103
C1C(CO1)O,-268.276572
CC1CC1C,-196.435152
CC1CC1O,-232.357426
CC1CN1C,-212.466725
CC1OC1C,-232.363064
OC1CC1O,-268.278934
C1C2CC1C2,-195.185188
C1C2CC1O2,-231.095721
C#CCC#C,-192.764175
C#CCC#N,-208.87023
C(C#N)C#N,-224.972334
C#CCC=O,-229.946855
C(C=O)C#N,-246.051902
C(=N)NC=O,-263.308973
N=COC=O,-283.184645
C(=O)NC=O,-283.207861
CC#CC#C,-192.790147
CC#CC#N,-208.890804
CC#CC=O,-229.958956
CC#CCO,-231.142502
CCC#CC,-195.228146
CN=COC,-248.425185
CCCC#C,-195.215412
CCCC#N,-211.324151
CNCC#N,-227.353619
COCC#C,-231.121215
COCC#N,-247.226866
C#CCCO,-231.135302
C(CO)C#N,-247.243281
CCCC=O,-232.39356
CCNC=O,-248.466001
CCOC=O,-268.337439
COCC=O,-268.30312
C(CO)C=O,-268.312338
CCCCC,-197.659721
CCCCO,-233.579515
CCCOC,-233.572603
CCOCC,-233.578016
COCCO,-269.494828
C(CO)CO,-269.498456
C#CC1CC1,-193.990986
C#CC1CN1,-210.029132
C#CC1CO1,-229.907107
C1CC1C#N,-210.098937
N#CC1CN1,-226.134578
N#CC1CO1,-246.010694
C1CC1C=O,-231.173071
O=CC1CN1,-247.211988
O=CC1CO1,-267.088115
C1CN1C=O,-247.22031
CCC1CC1,-196.434166
CCC1CO1,-232.356864
CCN1CC1,-212.467838
COC1CC1,-232.345925
C1CC1CO,-232.35363
OCC1CN1,-248.392932
OCC1CO1,-268.277228
C1CC=CC1,-195.253489
C1COC=N1,-247.242343
C1C=CCO1,-231.169932
C1CCCC1,-196.462198
C1CCOC1,-232.380488
C1COCO1,-268.302293
C1C2CCC12,-195.206606
C1C2COC12,-231.119749
C1CC2OC12,-231.128841
c1c[nH]nc1,-226.170637
c1cnn[nH]1,-242.206312
c1[nH]ncn1,-242.231775
c1[nH]cnn1,-242.222534
c1cn[nH]n1,-242.212163
c1cnoc1,-246.020256
c1conn1,-262.061292
c1ncon1,-262.082625
c1nnco1,-262.091582
c1nnno1,-278.101859
c1cnon1,-262.043855
c1nnon1,-278.0854
n1nnon1,-294.10766
CC(=NO)C#C,-285.248449
CC(=NO)CO,-323.617025
CCC(=NO)C,-287.694375
C1CC(=NO)C1,-286.468514
C1C(=NO)CN1,-302.501719
C1C(=NO)CO1,-322.380266
C(F)(F)(F)F,-437.512059
N=C1NC=CO1,-301.395667
N=C1OC=CO1,-321.264644
c1c[nH]c(=O)[nH]1,-301.433583
c1coc(=O)[nH]1,-321.3041
c1coc(=O)o1,-341.173218
Cc1ccc[nH]1,-249.42627
Cc1ccco1,-269.2962
Cc1cnco1,-285.356714
Cc1ncco1,-285.358812
c1cc([nH]c1)N,-265.470365
c1cc(oc1)N,-285.341898
c1c(ocn1)N,-301.401649
c1coc(n1)N,-301.409022
c1cc([nH]c1)O,-285.348469
c1c([nH]cn1)O,-301.40609
c1cnc([nH]1)O,-301.417032
Cc1cc[nH]c1,-249.424242
Cc1c[nH]cn1,-265.486153
Cc1ccoc1,-269.292093
Cc1cocn1,-285.355221
c1c[nH]cc1N,-265.467025
c1c(nc[nH]1)N,-281.532762
c1cocc1N,-285.33518
c1c(nco1)N,-301.401842
c1c[nH]cc1O,-285.344731
c1c(nc[nH]1)O,-301.413294
c1c(nco1)O,-321.280543
Cn1cccc1,-249.416542
Cn1ccnc1,-265.476219
c1ccccc1,-232.192047
c1ccncc1,-248.239325
c1cnccn1,-264.282954
c1cncnc1,-264.289179
c1ncncn1,-280.341405
CC(C)(C)C#C,-234.506959
CC(C)(C)C#N,-250.616127
CC(C)(C#N)N,-266.660779
CC(C)(C#C)O,-270.429359
CC(C)(C#N)O,-286.5365
CC(C)(C)C=O,-271.687368
CC(C)(C=O)O,-307.613529
CC(C)(C)CO,-272.872437
CC(C)(CO)O,-308.800675
CCC(C)(C)C,-236.948672
CCC(C)(C)O,-272.878675
CC(C)(C)OC,-272.867062
CC#CC(=O)C,-269.263526
CC#CC(=O)N,-285.334226
CC#CC(C)C,-234.519337
CC#CC(C)O,-270.441577
CC(=O)CC#C,-269.250569
CC(=O)CC#N,-285.356331
C#CCC(=O)N,-285.319587
C(C#N)C(=O)N,-301.426589
CC(=N)NC=O,-302.618688
CC(=N)OC=O,-322.491611
CC(=O)CC=O,-306.429362
CC(=O)NC=N,-302.610884
CC(=O)NC=O,-322.510598
CC(=O)OC=N,-322.495484
C(=O)NC(=N)N,-318.67749
C(C=O)C(=O)N,-322.501174
