smiles,u0
C,-40.47893
N,-56.525887
O,-76.404702
C#C,-77.308427
C#N,-93.411888
C=O,-114.483613
CC,-79.764152
CO,-115.679136
CC#C,-116.609549
CC#N,-132.71815
CC=O,-153.787612
C(=O)N,-169.860788
CCC,-119.052475
CCO,-154.972731
COC,-154.960361
C1CC1,-117.824798
C1CO1,-153.742562
CC(=O)C,-193.08834
CC(=O)N,-209.159302
C(=O)(N)N,-225.221461
CC(C)C,-158.342346
CC(C)O,-194.267232
C#CC#C,-153.459846
C#CC#N,-169.557758
C(#N)C#N,-185.648533
C#CC=O,-190.624631
C(=O)C#N,-206.721858
C(=O)C=O,-227.798785
CC#CC,-155.908941
CCC#C,-155.897345
CCC#N,-172.006141
C(C#N)N,-188.042067
C#CCO,-191.810916
C(C#N)O,-207.916786
CCC=O,-193.075202
CNC=O,-209.144909
COC=O,-229.013797
C(C=O)O,-228.992613
CCCC,-158.340943
CCCO,-194.261089
CCOC,-194.254127
C(CO)O,-230.183076
CC1CC1,-157.116735
CC1CO1,-193.039603
CN1CC1,-173.147782
C1CC1O,-193.034988
C1CCC1,-157.115484
C1COC1,-193.034094
CC(=NO)C,-248.375248
c1cc[nH]c1,-210.101789
c1cnc[nH]1,-226.160842
c1ccoc1,-229.969129
c1cocn1,-246.02915
CC(C)(C)C,-197.632222
CC(C)(C)O,-233.560626
CC(=O)C#C,-229.927277
CC(=O)C#N,-246.027383
C(#N)C(=N)N,-242.19573
C#CC(=O)N,-245.997884
CC(=O)C=O,-267.10335
C(=O)C(=N)N,-263.278851
C(=O)C(=O)N,-283.16874
CC(C)C#C,-195.186772
CC(C)C#N,-211.295796
CC(N)C#N,-227.338075
CC(O)C#C,-231.108368
CC(O)C#N,-247.214861
CC(C)C=O,-232.364952
CC(O)C=O,-268.287661
CN(C)C=O,-248.430371
CC(=O)CO,-268.301176
CCC(=O)C,-232.377706
CCC(=O)N,-248.448467
CC(=O)NC,-248.443503
CNC(=O)N,-264.504487
COC(C)=N,-248.416462
CC(=O)OC,-268.32127
COC(=O)N,-284.385189
C(C(=O)N)O,-284.360325
[NH3+]CC([O-])=O,-284.372483
CC(C)CO,-233.551389
CC(O)CO,-269.479234
CCC(C)C,-197.629387
CCC(C)O,-233.555951
CC(C)OC,-233.545899
CC1(CC1)C,-196.409349
CC1(CO1)C,-232.335768
CC1(CC1)O,-232.33341
N=C1CCO1,-247.201165
C1CC(=O)C1,-231.15578
C1CNC1=O,-247.225618
C1COC1=O,-267.106213
C1C(=O)CN1,-247.190194
C1C(=O)CO1,-267.068488
CC1CCC1,-196.407957
CC1CCO1,-232.33123
CC1COC1,-232.325947
C1CC(C1)O,-232.333258
C1C(CO1)O,-268.248371
CC1CC1C,-196.406419
CC1CC1O,-232.32907
CC1CN1C,-212.438188
CC1OC1C,-232.334436
OC1CC1O,-268.251114
C1C2CC1C2,-195.158734
C1C2CC1O2,-231.069318
C#CCC#C,-192.736096
C#CCC#N,-208.842347
C(C#N)C#N,-224.94466
C#CCC=O,-229.918003
C(C=O)C#N,-246.023231
C(=N)NC=O,-263.280728
N=COC=O,-283.156647
C(=O)NC=O,-283.179781
CC#CC#C,-192.762455
CC#CC#N,-208.863267
CC#CC=O,-229.928448
CC#CCO,-231.111403
CCC#CC,-195.196751
CN=COC,-248.395289
CCCC#C,-195.186228
CCCC#N,-211.295163
CNCC#N,-227.324775
COCC#C,-231.092208
COCC#N,-247.198
C#CCCO,-231.10631
C(CO)C#N,-247.21445
CCCC=O,-232.36363
CCNC=O,-248.436061
CCOC=O,-268.307873
COCC=O,-268.27324
C(CO)C=O,-268.282665
CCCCC,-197.629416
CCCCO,-233.549368
CCCOC,-233.542445
CCOCC,-233.547877
COCCO,-269.465281
C(CO)CO,-269.468415
C#CC1CC1,-193.963318
C#CC1CN1,-210.001565
C#CC1CO1,-229.879598
C1CC1C#N,-210.071468
N#CC1CN1,-226.107205
N#CC1CO1,-245.983375
C1CC1C=O,-231.145151
O=CC1CN1,-247.184334
O=CC1CO1,-267.060326
C1CN1C=O,-247.192524
CCC1CC1,-196.40532
CCC1CO1,-232.328175
CCN1CC1,-212.439286
COC1CC1,-232.3174
C1CC1CO,-232.324966
OCC1CN1,-248.364357
OCC1CO1,-268.248806
C1CC=CC1,-195.226072
C1COC=N1,-247.215049
C1C=CCO1,-231.142581
C1CCCC1,-196.432825
C1CCOC1,-232.351764
C1COCO1,-268.273739
C1C2CCC12,-195.179738
C1C2COC12,-231.093096
C1CC2OC12,-231.102112
c1c[nH]nc1,-226.144377
c1cnn[nH]1,-242.180146
c1[nH]ncn1,-242.205627
c1[nH]cnn1,-242.196351
c1cn[nH]n1,-242.18601
c1cnoc1,-245.994065
c1conn1,-262.035127
c1ncon1,-262.056533
c1nnco1,-262.065493
c1nnno1,-278.075775
c1cnon1,-262.017735
c1nnon1,-278.059333
n1nnon1,-294.081616
CC(=NO)C#C,-285.217962
CC(=NO)CO,-323.58568
CCC(=NO)C,-287.662612
C1CC(=NO)C1,-286.438084
C1C(=NO)CN1,-302.472397
C1C(=NO)CO1,-322.351046
C(F)(F)(F)F,-437.484875
N=C1NC=CO1,-301.367422
N=C1OC=CO1,-321.236907
c1c[nH]c(=O)[nH]1,-301.405558
c1coc(=O)[nH]1,-321.276274
c1coc(=O)o1,-341.145624
Cc1ccc[nH]1,-249.397368
Cc1ccco1,-269.267574
Cc1cnco1,-285.328258
Cc1ncco1,-285.330157
c1cc([nH]c1)N,-265.441614
c1cc(oc1)N,-285.313612
c1c(ocn1)N,-301.373496
c1coc(n1)N,-301.381127
c1cc([nH]c1)O,-285.320198
c1c([nH]cn1)O,-301.377995
c1cnc([nH]1)O,-301.389192
Cc1cc[nH]c1,-249.395323
Cc1c[nH]cn1,-265.457424
Cc1ccoc1,-269.263476
Cc1cocn1,-285.326726
c1c[nH]cc1N,-265.43852
c1c(nc[nH]1)N,-281.504579
c1cocc1N,-285.306999
c1c(nco1)N,-301.373831
c1c[nH]cc1O,-285.316421
c1c(nc[nH]1)O,-301.385442
c1c(nco1)O,-321.252793
Cn1cccc1,-249.387499
Cn1ccnc1,-265.44727
c1ccccc1,-232.164586
c1ccncc1,-248.211932
c1cnccn1,-264.255612
c1cncnc1,-264.261826
c1ncncn1,-280.31408
CC(C)(C)C#C,-234.476516
CC(C)(C)C#N,-250.585843
CC(C)(C#N)N,-266.630629
CC(C)(C#C)O,-270.399081
CC(C)(C#N)O,-286.506282
CC(C)(C)C=O,-271.656372
CC(C)(C=O)O,-307.582044
CC(C)(C)CO,-272.841336
CC(C)(CO)O,-308.769557
CCC(C)(C)C,-236.917458
CCC(C)(C)O,-272.84753
CC(C)(C)OC,-272.835594
CC#CC(=O)C,-269.230258
CC#CC(=O)N,-285.30044
CC#CC(C)C,-234.486176
CC#CC(C)O,-270.408713
CC(=O)CC#C,-269.219315
CC(=O)CC#N,-285.324641
C#CCC(=O)N,-285.287913
C(C#N)C(=O)N,-301.394865
CC(=N)NC=O,-302.588564
CC(=N)OC=O,-322.460671
CC(=O)CC=O,-306.397642
CC(=O)NC=N,-302.579654
CC(=O)NC=O,-322.479769
CC(=O)OC=N,-322.464725
C(=O)NC(=N)N,-318.647923
C(C=O)C(=O)N,-322.469844
C(=N)NC(=O)N,-318.641916
C(=O)NC(=O)N,-338.542975
NC(=O)OC=N,-338.531538
CC(C)CC#C,-234.476081
CC(C)CC#N,-250.585183
CC(O)CC#C,-270.401061
CC(O)CC#N,-286.508374
CN(C)CC#N,-266.609146
CC(C)CC=O,-271.653205
CC(C)NC=O,-287.72789
CC(C)OC=O,-307.60208
CC(O)CC=O,-307.577822
CN(C)CC=O,-287.681216
CC(=O)CCO,-307.586014
CCCC(=O)C,-271.666055
CCCC(=O)N,-287.736841
CCNC(=O)C,-287.734664
CCNC(=O)N,-303.795699
CCOC(=O)C,-307.614861
CCOC(=O)N,-323.6788
C[NH2+]CC([O-])=O,-323.654114
CC(=O)COC,-307.571921
COCC(=O)N,-323.641347
C(CO)C(=O)N,-323.657279
[NH3+]CCC([O-])=O,-323.582949
CC(C)CCO,-272.837559
CC(O)CCO,-308.764658
CCCC(C)C,-236.917664
CCCC(C)O,-272.84456
CCOC(C)C,-272.839582
CC(C)COC,-272.83269
COCC(C)O,-308.759135
CC(=O)C(=O)C,-306.406578
CC(=O)C(=N)N,-302.580808
CC(=O)C(=O)N,-322.482659
NC(=[NH2+])C([O-])=O,-338.530072
C(=O)(C(=O)N)N,-338.559964
CC(C)C(=O)C,-271.665153
CC(C)C(=O)N,-287.737498
CC([NH3+])C([O-])=O,-323.665247
CC(O)C(C)=O,-307.594137
CC(O)C(N)=O,-323.665987
CC(=O)N(C)C,-287.723848
CN(C)C(=O)N,-303.785832
CC(C)C(C)C,-236.916033
CC(C)C(C)O,-272.843742
CC(O)C(C)O,-308.772292
CC1(CCC1)C,-235.699029
CC1(CCO1)C,-271.626697
CC1(COC1)C,-271.618179
CC1(CCC1)O,-271.627826
CC1(COC1)O,-307.544712
CC1(C)CC1O,-271.621961
CC1(O)CC1O,-307.546144
CC1CC1(C)C,-235.698987
CC1CC1(C)O,-271.623957
CC1OC1(C)C,-271.630416
CC1(CN1C)C,-251.732828
CC1CC(=N)O1,-286.498235
CC1CC(=O)C1,-270.446915
CC1CC(=O)N1,-286.519735
CC1CC(=O)O1,-306.403144
CN1CC(=O)C1,-286.476486
C1C(CC1=O)O,-306.369631
CC1CC(C)C1,-235.700285
CC1CC(C)O1,-271.628346
CC1CC(O)C1,-271.62464
CN1CC(C1)O,-287.657053
OC1CC(O)C1,-307.548619
CC12CC(C1)C2,-234.455424
CC12CC(C1)O2,-270.370102
CC12CN(C1)C2,-250.478855
OC12CC(C1)C2,-270.382725
OC12CN(C1)C2,-286.408473
C#CC(=O)C#C,-266.763445
C#CC(=O)C#N,-282.861121
C(#N)C(=O)C#N,-298.95295
C#CC(=O)C=O,-303.934323
C(=O)C(=O)C#N,-320.029854
C(=O)C(=O)C=O,-341.097446
CC(C#C)C#C,-232.02593
CC(C#C)C#N,-248.132701
CC(C#N)C#N,-264.235803
NC(C#C)C#N,-264.171923
C(#N)C(C#N)N,-280.273691
C#CC(C#C)O,-267.944278
OC(C#C)C#N,-284.048718
C(#N)C(C#N)O,-300.148891
CC(C=O)C#C,-269.207716
CC(C=O)C#N,-285.313284
OC(C=O)C#C,-305.130184
OC(C=O)C#N,-321.233569
CC(C=O)C=O,-306.383308
CN(C=N)C=O,-302.579718
CN(C=O)C=O,-322.477268
C(=O)C(C=O)O,-342.307696
CN=C(C#N)N,-281.480993
CN=C(C=O)N,-302.564379
CCC(=O)C#C,-269.216969
CCC(=O)C#N,-285.317454
CNC(=N)C#N,-281.484877
CNC(=O)C#C,-285.282532
COC(=O)C#C,-305.155985
COC(=O)C#N,-321.254976
C#CC(=O)CO,-305.130313
C(C(=O)C#N)O,-321.230055
CCC(=O)C=O,-306.392828
CNC(=N)C=O,-302.558547
CNC(=O)C=O,-322.454079
COC(=O)C=O,-342.329232
C(C(=O)C=O)O,-342.297848
CCC(=O)CC,-271.666841
CCC(=O)CO,-307.58009
CCC(=O)NC,-287.732329
CCC(=O)OC,-307.61045
CNC(=O)CO,-323.644468
CNC(=O)NC,-303.787203
CNC(=O)OC,-323.6692
COC(=O)CN,-323.652284
COC(=O)CO,-343.531666
C(C(=O)CO)O,-343.492484
CC(=NC)OC,-287.697316
CC(CO)C#C,-270.3961
CC(CO)C#N,-286.504534
CCC(C)C#C,-234.474088
CCC(C)C#N,-250.583259
CCC(N)C#N,-266.626759
CCC(O)C#C,-270.397474
CCC(O)C#N,-286.50404
CNC(C)C#N,-266.615452
COC(C)C#C,-270.38418
COC(C)C#N,-286.495035
NC(CO)C#N,-302.545112
NCC(N)C#N,-282.667163
NCC(O)C#N,-302.545562
OCC(O)C#C,-306.320806
OCC(O)C#N,-322.425235
CC(CO)C=O,-307.574899
CCC(C)C=O,-271.651913
CCC(O)C=O,-307.581989
CCN(C)C=O,-287.720383
COC(C)C=O,-307.566593
OCC(O)C=O,-343.5036
CC(CO)CO,-308.75909
CCC(C)CC,-236.916125
CCC(C)CO,-272.838189
CCC(C)OC,-272.834623
CCC(CC)O,-272.844804
CCC(O)CO,-308.768073
COC(C)CO,-308.757315
C(C(CO)O)O,-344.689237
CC1(CC1)C#C,-233.255259
CC1(CC1)C#N,-249.363808
CC1(CN1)C#C,-249.293044
CC1(CN1)C#N,-265.399968
CC1(CO1)C#C,-269.176124
CC1(CO1)C#N,-285.281032
C1CC1(C#N)N,-265.408147
C#CC1(CC1)O,-269.176442
C1CC1(C#N)O,-285.282853
CC1(CC1)C=O,-270.439135
CC1(CN1)C=O,-286.477365
CC1(CO1)C=O,-306.358581
C1CC1(C=O)O,-306.364186
CC1(CC1)CO,-271.618137
CC1(CO)CN1,-287.663174
CC1(CO)CO1,-307.545713
CCC1(CC1)C,-235.696677
CCC1(C)CO1,-271.623066
CCC1(CC1)O,-271.621836
CC1(CC1)OC,-271.611366
C1CC1(CO)O,-307.544316
CC1CCC1=O,-270.447268
CC1CNC1=O,-286.517094
CC1COC1=N,-286.493052
CC1COC1=O,-306.397746
CC1NCC1=O,-286.484904
CC1OCC1=O,-306.365166
CN1CCC1=O,-286.514923
NC1COC1=N,-302.535621
NC1COC1=O,-322.439472
OC1CCC1=O,-306.368494
OC1CNC1=O,-322.436757
OC1COC1=N,-322.412936
OC1COC1=O,-342.315546
CC1CCC1C,-235.696852
CC1CCC1O,-271.622539
CC1COC1C,-271.620997
CC1OCC1O,-307.544728
OC1CCC1O,-307.55036
N=C1CN=CN1,-281.491976
C1C=CCC1=O,-269.263802
C1C=CNC1=O,-285.335887
C1C(=O)NC=N1,-301.395982
C1C(=O)OC=N1,-321.271406
N=C1OCC=C1,-285.311823
C1CC(=O)C=C1,-269.27132
C1C=CC(=O)N1,-285.336744
N=C1CCCO1,-286.516174
N=C1COCO1,-322.434119
N=C1OCCO1,-322.44415
C1CCC(=O)C1,-270.47247
C1CC(=O)NC1,-286.542391
C1CC(=O)OC1,-306.418503
C1COCC1=O,-306.386594
C1C(=O)OCO1,-342.335241
C1CNC(=O)N1,-302.599262
C1COC(=O)N1,-322.47672
C1COC(=O)O1,-342.352279
CC1=CCCC1,-234.522504
CC1=CCOC1,-270.43928
CC1=NCCO1,-286.516879
CC1CC=CC1,-234.516241
CC1CN=CO1,-286.510514
OC1CC=CC1,-270.441325
CC1CCC=C1,-234.516409
CC1COC=N1,-286.508233
CC1OCC=C1,-270.437636
OC1CCC=C1,-270.441145
CC1CCCC1,-235.723792
CC1CCCO1,-271.647465
CC1CCOC1,-271.642927
CC1COCO1,-307.569255
CC1OCCO1,-307.573371
C1CCC(C1)O,-271.648392
OC1CCOC1,-307.56626
CC1C(C)C1C,-235.694216
CC1C(C)C1O,-271.61858
CC1C(C)N1C,-251.727102
CC1C(O)C1O,-307.540766
OC1C(O)C1O,-343.468335
CC12CC1CC2,-234.474951
CC12CC1CO2,-270.392444
CC12CC1OC2,-270.388222
CC12CCC1O2,-270.401391
OC12CC1CC2,-270.397623
OC12CC1OC2,-306.309029
C#CC#CC#C,-229.615446
C#CC#CC#N,-245.711897
